Thu Oct  7 10:36:40 2021,1021,3,500,11100,-5000,5000,0,0,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_01.root
Thu Oct  7 10:37:14 2021,1021,3,500,11100,-5000,5000,0,0,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_01.root
Thu Oct  7 10:38:48 2021,1021,3,500,11100,-5000,5000,0,0,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_01.root
Thu Oct  7 10:41:31 2021,1021,3,-11100,-500,-5000,5000,13768,14166,97.1905,0.138837,1.90111,0.00878682,,0.405,0.412,0.0871,0.0825,0.0053,0.00429,0.00145,0.000944,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_01.root
Thu Oct  7 10:51:28 2021,1021,3,-11100,-500,-5000,5000,98923,112192,88.173,0.0964106,1.90356,0.00326077,,0.402,0.413,0.0912,0.0806,0.00423,0.00534,0.00147,0.000829,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_01.root
Thu Oct  7 10:59:22 2021,1021,4,-11100,-500,-5000,5000,97847,106617,91.7743,0.0841461,1.5238,0.00237747,,0.583,0.347,0.0367,0.0306,0.00135,0.000849,0.000184,0.000123,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_01.root
Thu Oct  7 12:21:23 2021,1021,3,-11100,-500,-5000,5000,351173,1032405,34.015,0.0466265,1.91391,0.00173625,,0.396,0.417,0.0927,0.0813,0.00451,0.00526,0.00152,0.000894,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 13:41:05 2021,1021,3,-11100,-500,-5000,5000,99019,112117,88.3176,0.09593,1.90432,0.00326048,,0.402,0.414,0.0914,0.0806,0.00423,0.00535,0.00149,0.00084,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_03.root
Thu Oct  7 13:49:52 2021,1021,3,-11100,-500,-5000,5000,89631,104025,86.1629,0.107057,1.91248,0.00349635,,0.402,0.411,0.0903,0.0827,0.00501,0.00497,0.00167,0.00102,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_04.root
Thu Oct  7 14:12:08 2021,1021,3,-11100,-500,-5000,5000,70986,72617,97.754,0.0549865,1.91236,0.00390599,,0.402,0.412,0.0884,0.0855,0.00521,0.00382,0.00149,0.00114,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_05.root
Thu Oct  7 15:09:36 2021,1021,3,-11100,-500,-5000,5000,35711,36808,97.0197,0.0886321,1.90481,0.00536362,,0.405,0.407,0.0917,0.0837,0.00706,0.00328,0.00199,0.00042,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_011.root
Thu Oct  7 15:41:31 2021,1021,3,-11100,-500,-5000,5000,35120,36198,97.0219,0.0893428,1.90221,0.0053991,,0.405,0.407,0.0912,0.0833,0.00686,0.00339,0.00188,0.000399,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_01.root
Thu Oct  7 15:52:05 2021,1021,3,-11100,-500,-5000,5000,35711,36808,97.0197,0.0886321,1.90481,0.00536362,,0.405,0.407,0.0917,0.0837,0.00706,0.00328,0.00199,0.00042,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 16:07:38 2021,1021,3,-11100,-500,-5000,5000,35711,36808,97.0197,0.0886321,1.90481,0.00536362,,0.405,0.407,0.0917,0.0837,0.00706,0.00328,0.00199,0.00042,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 16:10:34 2021,1021,3,-11100,-500,-5000,5000,35711,36808,97.0197,0.0886321,1.90481,0.00536362,,0.405,0.407,0.0917,0.0837,0.00706,0.00328,0.00199,0.00042,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 16:55:23 2021,1021,3,-11100,-500,-5000,5000,35711,36808,97.0197,0.0886321,1.90481,0.00536362,,0.405,0.407,0.0917,0.0837,0.00706,0.00328,0.00199,0.00042,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 16:58:40 2021,1021,3,-11100,-500,-5000,5000,1268,1299,97.6135,0.423474,1.90305,0.028348,,0.393,0.436,0.0757,0.0749,0.00789,0.0118,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 17:02:02 2021,1021,3,-11100,-500,-5000,5000,1268,1299,97.6135,0.423474,1.90305,0.028348,,0.393,0.436,0.0757,0.0749,0.00789,0.0118,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 17:03:05 2021,1021,3,-11100,-500,-5000,5000,1268,1299,97.6135,0.423474,1.90305,0.028348,,0.393,0.436,0.0757,0.0749,0.00789,0.0118,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 17:03:40 2021,1021,3,-11100,-500,-5000,5000,2981,3063,97.3229,0.291654,1.94682,0.0189275,,0.394,0.404,0.0859,0.103,0.00503,0.00839,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 17:04:14 2021,1021,3,-11100,-500,-5000,5000,1441,1490,96.7114,0.462009,1.86057,0.0261505,,0.416,0.427,0.0666,0.0736,0.00694,0.0104,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run1021_02.root
Thu Oct  7 17:04:40 2021,1021,3,-11100,-500,-5000,5000,1290,1328,97.1386,0.457498,1.88766,0.0280542,,0.404,0.429,0.0744,0.0736,0.00775,0.0116,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 17:05:59 2021,1021,3,-11100,-500,-5000,5000,138,139,99.2806,0.716832,1.78261,0.0643691,,0.37,0.529,0.0507,0.0507,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 17:07:18 2021,1021,3,-11100,-500,-5000,5000,138,139,99.2806,0.716832,1.78261,0.0643691,,0.37,0.529,0.0507,0.0507,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
Thu Oct  7 17:07:53 2021,1021,3,-11100,-500,-5000,5000,1441,1490,96.7114,0.462009,1.86057,0.0261505,,0.416,0.427,0.0666,0.0736,0.00694,0.0104,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run1021_02.root
