Wed Sep 29 11:27:43 2021,680,3,500,11100,-5000,5000,130,1662,7.8219,0.65865,1.09231,0.0295715,,0.923,0.0615,0.0154,0,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run680_01.root
Wed Sep 29 11:33:37 2021,673,3,500,11100,-5000,5000,1798,1930,93.1606,0.574574,1.09289,0.00793203,,0.918,0.0734,0.00612,0.00167,0.000556,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run673_01.root
Wed Sep 29 11:40:29 2021,611,3,500,11100,-5000,5000,1693,1704,99.3545,0.194008,1.45541,0.0165537,,0.626,0.32,0.0284,0.0254,0.000591,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run611_01.root
Wed Sep 29 11:40:53 2021,611,3,500,11100,-5000,5000,1693,1704,99.3545,0.194008,1.45541,0.0165537,,0.626,0.32,0.0284,0.0254,0.000591,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run611_01.root
Wed Sep 29 11:41:51 2021,611,3,500,11100,-5000,5000,1693,1704,99.3545,0.194008,1.45541,0.0165537,,0.626,0.32,0.0284,0.0254,0.000591,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run611_01.root
Thu Sep 30 11:52:10 2021,680,3,500,11100,-5000,5000,130,144,90.2778,2.46883,1.09231,0.0295715,,0.923,0.0615,0.0154,0,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run680_02.root
Thu Sep 30 12:04:57 2021,680,3,500,11100,-5000,5000,130,1662,7.8219,0.65865,1.09231,0.0295715,,0.923,0.0615,0.0154,0,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run680_03.root
Thu Sep 30 12:12:47 2021,680,3,500,11100,-5000,5000,130,1662,7.8219,0.65865,1.09231,0.0295715,,0.923,0.0615,0.0154,0,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run680_04.root
Thu Sep 30 14:24:09 2021,680,3,500,11100,-5000,5000,130,1662,7.8219,0.65865,1.09231,0.0295715,,0.923,0.0615,0.0154,0,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF/run680_05.root
Thu Sep 30 14:33:37 2021,680,3,500,11100,-5000,5000,130,144,90.2778,2.46883,1.09231,0.0295715,,0.923,0.0615,0.0154,0,0,0,0,0,/Users/zelbitar/HEP_SOFT/taf.git/taf/datDSF//run680_01.root
